Gene,h96_MOCK.1,h96_MOCK.2,h96_MOCK.3,h96_MOCK.4,h96_MOCK.5,h96_MOCK.6,Marker
A0FGR8,0.957281593054273,1,0.589826224470697,0.479931616018135,0.168805593601276,0,unknown
A1L0T0,0.776605967294129,1,0.40361890976573,0.374904505241957,0.119603660029528,0,unknown
A2RRP1,1,0.883266278733042,0.326300024428651,0.260246745645181,0.0724819897480385,0,unknown
A3KMH1,0.146607779662298,0.195255807953258,0.270444200087287,1,0.252444542032147,0,unknown
A8MSI8,0.0162978946976063,0.094096964935277,0.261355797631083,1,0.214264618400114,0,unknown
Q8IUC4,0.336018340265181,1,0.881348534295065,0.668140595227129,0.233325460433567,0,unknown
A8MXV4,0.0735148286388585,0.101326830830413,0.187454047629352,1,0.25413469467347,0,unknown
O00115,0.329596300138716,1,0.523190916107416,0.587090582674496,0.178698747937788,0,Lysosome
O00116,0.00393065590764185,0.0609299906637488,0.212621825664101,1,0.881123387951238,0,Peroxisome
O00142,0.0972894928276556,0.237922958238347,0.223877302743805,1,0.183557992401615,0,unknown
O00151,1,0.345941533866586,0.106084106609636,0.0871298855064093,0.0364390035111862,0,Cytosol
O00154,0.546151000895255,0.481939999194145,0.245281516867685,1,0.198235415433228,0,unknown
O00159,1,0.403731955566607,0.0887678265494883,0.0604675695728231,0.0198405030284164,0,unknown
O00161,1,0.381069485650479,0.17470013111362,0.0888772095557124,0.032108036300434,0,Plasma membrane
O00186,1,0.512407739653315,0.193778536899677,0.131770770871954,0.056715916721153,0,Plasma membrane
O00214,1,0.451552674253005,0.178291298760082,0.117088671914483,0.0267763747344099,0,unknown
O00231,1,0.784170427658769,0.290771092812099,0.236145532253916,0.0884841796867602,0,unknown
O00264,0.807353059657099,1,0.477789774865458,0.707810797349895,0.222680494769781,0,unknown
O00291,1,0.627460369889441,0.448123150021522,0.356977343833079,0.11713956534587,0,unknown
O00299,1,0.618186844399761,0.192414224154336,0.0909460137851553,0.0542915941961679,0,unknown
O00330,0.0661763091289724,0.129964744054031,0.207264724029143,1,0.182699062976302,0,unknown
O00391,0.679283781849338,1,0.44123670618058,0.249118789843594,0.0814129967237046,0,unknown
O00410,0.67502229223923,0.354466083766315,0.295376416931302,1,0.272952146581258,0,unknown
O00461,0.530487732967401,1,0.435839606373747,0.224616500864637,0.0918795008357233,0,unknown
O00462,0.379784968121074,1,0.573765238435147,0.496130381069426,0.142920438031643,0,unknown
O00469,0.497382659259565,1,0.528363921660832,0.502165125200167,0.139749272074604,0,unknown
O00471,1,0.324582914610248,0.160170564027121,0.105735408465627,0.0316307164424024,0,unknown
O00483,0,0.0583418569443099,0.301903434602649,1,0.291203489809698,0.0261890557108201,Mitochondria
O00499,1,0.532807911064917,0.109597985296743,0.18452796648368,0.0473944471886776,0,unknown
O00560,0.741383243541554,1,0.302268028202415,0.276649653681113,0.125722307749316,0,unknown
O00584,0.318997773164347,0.876772738603289,0.657427639073987,1,0.308605502159544,0,Lysosome
O00622,0.403187513690609,1,0.803529296600094,0.628752149047475,0.199668942084302,0,unknown
O00629,1,0.417545702454358,0.270342783327582,0.440295596483309,0.147289019898899,0,unknown
O00746,0.121370404228961,0.184404714761851,0.217930487805581,1,0.194435687495448,0,unknown
O00748,0.422228790726243,1,0.44388998181067,0.390270930674222,0.0691178021547226,0,ER
O00754,0.310792177474037,1,0.647167269056598,0.777788046694813,0.258532668797625,0,Lysosome
O14494,1,0.597873432833097,0.498845253931345,0.243391103391613,0.087133155851606,0,unknown
O14495,1,0.605606219566156,0.322083897551076,0.153198009284572,0.0681589025754867,0,unknown
O14656,0.736486031827857,1,0.385187466705208,0.307088143836056,0.119990403160887,0,unknown
O14672,1,0.947827619334511,0.515923591228466,0.426850745595453,0.130670056031785,0,unknown
O14683,1,0.649883088824038,0.268375359839101,0.592559929218966,0.23726177028073,0,unknown
O14745,1,0.398806695283654,0.0794177963974529,0.138787068994206,0.038593743140072,0,unknown
O14763,1,0.466526349386606,0.186383571929235,0.159285460004977,0.0520332048308262,0,unknown
O14773,0.270138283337609,1,0.79497654505871,0.759040695548218,0.288576168807515,0,Lysosome
O14817,1,0.497932836747296,0.231303655719974,0.147315288474983,0.05337796173058,0,unknown
O14818,1,0.585953352432618,0.174468117562242,0.188634494383914,0.100343788136537,0,unknown
O14828,0.960855252541064,1,0.384957631273859,0.244865148361934,0.120619177837301,0,unknown
O14880,0.0190144992389334,0.134918588704451,0.242220733228055,1,0.196202899216702,0,unknown
O14908,1,0.378499006731472,0.118032192440688,0.0975849746100106,0.037116417370547,0,unknown
O14910,1,0.425165264956321,0.262081743255427,0.308739235763964,0.103354043997923,0,unknown
O14936,1,0.481273881701724,0.20407336470221,0.159219659675226,0.0517009756153519,0,unknown
O14949,0,0.0581831815510886,0.20260756638082,1,0.227599557541754,0.0157328893243129,unknown
P19105,1,0.535928867501986,0.494242843943904,0.297152027236997,0.0980829518995047,0,unknown
O14964,1,0.450270221026434,0.13114719651018,0.0944459251634471,0.0366299169005219,0,unknown
O14974,1,0.334000611890606,0.100062092405775,0.0582019388886488,0.0196107145104335,0,unknown
O14980,1,0.740488107950085,0.204827847698353,0.246403718268115,0.127968371202459,0,unknown
O15091,0,0.0660343992418658,0.277861466935874,1,0.26039060820968,0.0127464697912735,Mitochondria
O15118,0.523417920602132,1,0.581538896695194,0.402904691573043,0.176705668975909,0,unknown
O15127,1,0.857855078746006,0.273375239875596,0.201887984679768,0.0928190670516731,0,unknown
O15143,1,0.474101599085726,0.14561593746878,0.181168588676303,0.0716233856298904,0,unknown
O15144,1,0.468588206010323,0.159596382382786,0.126200329509301,0.0635823841641933,0,unknown
O15145,1,0.404969108472071,0.173754337068869,0.105446291443434,0.0510018134290793,0,unknown
O15173,0.858773413654448,1,0.413277119007604,0.422538260838562,0.135984161465685,0,unknown
O15228,0.295657036309501,0.27196675249301,0.251171382512607,1,0.667566303841257,0,Peroxisome
O15254,0.0860536148242011,0.160336569851675,0.297108245617496,1,0.752192308543344,0,Peroxisome
O15260,0.777988172640281,1,0.438673216301657,0.313137130157956,0.105896485781826,0,unknown
O15269,0.895431990787594,1,0.276621403729608,0.398768792666171,0.136926128136698,0,unknown
O15321,0.368816802900279,1,0.363073136191199,0.174255250389737,0.0567369877855711,0,unknown
O15382,0.160889907824172,0.211210145260027,0.286720031539282,1,0.17842371379514,0,unknown
O15400,1,0.942006990647057,0.546278501296193,0.260898328353689,0.131157224433853,0,unknown
O15439,1,0.6073008132315,0.309378221227888,0.162429281218792,0.0816291669502644,0,unknown
O15460,0.39407907292361,1,0.647121571351305,0.609312740476825,0.169622720982233,0,ER
O15484,1,0.453758591515127,0.200673384438693,0.165067035674955,0.0612773907613841,0,unknown
O15498,1,0.695536986923921,0.209190150079662,0.143805903860852,0.0612110859535497,0,unknown
O15511,1,0.46636123561474,0.179944281552652,0.199618078037301,0.0590908596023514,0,unknown
O15533,0.643950211117716,1,0.366922485371451,0.46503298424851,0.143667803754592,0,unknown
O43169,0.623405889757584,0.579231829816102,0.477272750789329,1,0.296928398391239,0,unknown
O43175,1,0.626220953857542,0.173914689948269,0.182645951241822,0.098114669495216,0,unknown
O43181,0.02516054178626,0.0686352677414782,0.220872011364765,1,0.247265367259377,0,unknown
O43399,0.976655780804181,1,0.290833021595105,0.158093652053944,0.0632700923485745,0,unknown
O43402,0.646877624954637,1,0.493089428409784,0.561586563323778,0.1695438507835,0,unknown
O43464,0.140494006109877,0.159441044452932,0.27273775067579,1,0.21457780626484,0,unknown
O43488,0.465912076932425,0.297832718299077,0.292427194042225,1,0.230374556380795,0,unknown
O43491,1,0.366260123122273,0.101721151681925,0.0780105141040283,0.029965320440057,0,unknown
O43493,0.963330993598146,1,0.314215159792638,0.0777677234940424,0.0152578923778194,0,unknown
O43556,1,0.346147393963658,0.325658068262641,0.0565195147266261,0.0502430999966556,0,unknown
